         x         y         z          analitic          solution          pogreshn
         0         0         0                 1                 1       1.08802e-14
         2         0         0                 3                 3       6.21725e-15
         3         0         0                 4                 4                 0
         0         4         0                 5                 5       2.13163e-14
         2         4         0                 7                 7       7.10543e-15
         3         4         0                 8                 8      -3.55271e-15
         0         5         0                 6                 6       1.59872e-14
         1         5         0                 7                 7      -8.88178e-16
         2         5         0                 8                 8      -8.88178e-15
         3         5         0                 9                 9      -2.30926e-14
         0         0         4                 5                 5       1.95399e-14
         2         0         4                 7                 7       1.06581e-14
         3         0         4                 8                 8      -7.99361e-15
         0         4         4                 9                 9       3.55271e-15
         2         4         4                11                11      -3.19744e-14
         3         4         4                12                12      -3.90799e-14
         0         5         4                10                10      -1.42109e-14
         1         5         4                11                11       -2.4869e-14
         2         5         4                12                12      -3.37508e-14
         3         5         4                13                13       -4.9738e-14
         0         0         5                 6                 6       1.24345e-14
         1         0         5                 7                 7      -2.66454e-15
         2         0         5                 8                 8      -9.76996e-15
         3         0         5                 9                 9      -1.77636e-14
         0         4         5                10                10      -8.88178e-15
         1         4         5                11                11      -2.30926e-14
         2         4         5                12                12      -3.73035e-14
         3         4         5                13                13      -5.86198e-14
         0         5         5                11                11      -2.13163e-14
         1         5         5                12                12      -4.08562e-14
         2         5         5                13                13      -4.79616e-14
         3         5         5                14                14      -6.75016e-14
KE number = 11
Nodes number = 32

Otnositelnaia pogreshnost = 2.93011e-15
